,Mass,Radius,Gravity
0,1.989e+30,695700000.0,274.10478078144416
1,4.1769e+30,1182690000.0,199.17648430485562
2,2.9835e+31,49394700000.0,0.8156262074432974
3,2.1879e+30,834840000.0,209.38559643026986
4,2.1879e+30,18088200000.0,0.44602848943726114
5,4.3758e+30,1878390000.0000002,82.72023562677326
6,5.1714e+30,8348400000.0,4.9491140974427426
7,4.574699999999999e+31,54890730000.00001,1.0127224556237002
8,2.9835e+30,1321830000.0,113.89395323328705
9,3.978e+31,660915000000.0,0.006074344172441975
10,1.33263e+31,6470010000.000001,21.233692117420226
11,2.08845e+31,5983020000.0,38.914280667998426
12,3.5802e+30,1252260000.0,152.280433767469
13,3.5801999999999996e+31,6191730000.0,62.288676354828866
14,2.9835e+30,30610800000.0,0.2123745718864495
15,2.3868e+31,473076000000.0,0.007113445868030558
16,2.2734269999999998e+31,5196879000.0,56.14636402516638
17,3.7790999999999997e+30,6122160000.000001,6.725194776404233
18,3.7790999999999997e+30,1252260000.0,160.7404578656617
19,3.7791e+31,141227100000.0,0.12637993726728236
20,3.1824e+31,5843880000.0,62.15527908876285
21,7.558199999999999e+30,2156670000.0,108.38690603220478
22,2.48625e+31,9739800000.0,17.481172243714553
23,2.88405e+31,6122160000.000001,51.32385487255862
24,5.5692e+30,1669680000.0,133.24537954653536
